	 Total Time (s)	Calls (kCalls)
TR_DCT_32x32	0.0377281	5.051
Dist_SSE_32x32	0.0218144	12.989
TR_DCT_16x16	0.0431988	35.202
Dist_SSE_16x16	0.0252443	65.815
TR_DCT_8x8	0.0403067	145.077
Dist_SSE_8x8	0.0264271	238.941
Dist_SSE_64x64	0.00731934	0.96
Dist_SAD_64x64	0.039888	30.94
Dist_SAD_64x64sub	0.0162567	12.807
INTERPOL_HALF_64x64	0.0385774	0.728
Dist_HAD_64x64	0.111349	14.014
INTERPOL_QUARTER_64x64	0.0865942	0.728
Dist_SAD_32x64	0.0410631	61.88
Dist_SAD_32x64sub	0.0141146	22.211
INTERPOL_HALF_32x64	0.0397212	1.456
Dist_HAD_32x64	0.110374	27.3
INTERPOL_QUARTER_32x64	0.0873808	1.456
Dist_SAD_64x32	0.0425833	61.88
Dist_SAD_64x32sub	0.0139247	21.336
INTERPOL_HALF_64x32	0.0401764	1.456
Dist_HAD_64x32	0.109919	27.3
INTERPOL_QUARTER_64x32	0.0884544	1.456
TR_DCT_4x4	0.0666948	517.944
Dist_SSE_4x4	0.0837665	1154.83
Dist_SAD_32x32	0.050464	132.6
Dist_SAD_32x32sub	0.0202575	54.339
INTERPOL_HALF_32x32	0.044683	3.12
Dist_HAD_32x32	0.119756	57.7
INTERPOL_QUARTER_32x32	0.0963271	3.12
Dist_SAD_16x32	0.06302	265.2
Dist_SAD_16x32sub	0.0219271	98.26
INTERPOL_HALF_16x32	0.0477205	6.24
Dist_HAD_16x32	0.129846	117
INTERPOL_QUARTER_16x32	0.101072	6.24
Dist_SAD_32x16	0.0652686	265.2
Dist_SAD_32x16sub	0.0220385	98.494
INTERPOL_HALF_32x16	0.0486288	6.24
Dist_HAD_32x16	0.12908	117
INTERPOL_QUARTER_32x16	0.101019	6.24
Dist_SAD_16x16	0.0945858	530.382
Dist_SAD_16x16sub	0.0348096	222.48
INTERPOL_HALF_16x16	0.0536829	12.48
Dist_HAD_16x16	0.139388	226.285
INTERPOL_QUARTER_16x16	0.107028	12.48
Dist_SAD_8x16	0.0975612	1060.78
Dist_SAD_8x16sub	0.0333267	355.746
INTERPOL_HALF_8x16	0.0617471	24.96
Dist_HAD_8x16	0.148525	468
INTERPOL_QUARTER_8x16	0.11808	24.96
Dist_SAD_16x8	0.192663	1414.16
INTERPOL_HALF_16x8	0.0630957	24.96
Dist_HAD_16x8	0.15138	468
INTERPOL_QUARTER_16x8	0.118369	24.96
Dist_SAD_8x8	0.306575	2866.05
INTERPOL_HALF_8x8	0.0783282	49.92
Dist_HAD_8x8	0.185343	900.59
INTERPOL_QUARTER_8x8	0.133878	49.92
Dist_SAD_4x8	0.152976	1473.16
INTERPOL_HALF_4x8	0.0525935	49.92
Dist_HAD_4x8	0.1403	973.44
INTERPOL_QUARTER_4x8	0.0812955	49.92
Dist_SAD_8x4	0.159397	1454.94
INTERPOL_HALF_8x4	0.0562042	49.92
Dist_HAD_8x4	0.144444	973.44
INTERPOL_QUARTER_8x4	0.0844015	49.92
TR_iDCT_32x32	0.0283371	2.897
TR_iDCT_16x16	0.0183325	10.512
TR_iDCT_8x8	0.00877467	18.866
TR_iDCT_4x4	0.00465289	17.791
Dist_HAD_16x64	0.00071229	0.3
Dist_HAD_48x64	0.00187655	0.3
Dist_HAD_32x8	0.00489209	7.85
Dist_HAD_32x24	0.0131527	7.85
Dist_HAD_8x32	0.0104614	16.82
Dist_HAD_24x32	0.0281318	16.82
Dist_HAD_16x4	0.00378995	18.01
Dist_HAD_16x12	0.00821249	18.01
Dist_HAD_4x16	0.00682556	30.93
Dist_HAD_12x16	0.0144117	30.93
TR_DST_4x4	0.000800981	3.18
TR_iDST_4x4	0.000463364	2.034
Dist_HAD_4x4	0.00135118	8.12
Dist_SAD_8x32	0.00755659	37.4
Dist_SAD_8x32sub	0.00453978	27.467
INTERPOL_HALF_8x32	0.00384528	0.88
INTERPOL_QUARTER_8x32	0.0081035	0.88
Dist_SAD_24x32	0.0155269	37.4
Dist_SAD_24x32sub	0.0067581	18.875
INTERPOL_HALF_24x32	0.00973376	0.88
INTERPOL_QUARTER_24x32	0.0215915	0.88
Dist_SAD_16x4	0.00965828	61.052
INTERPOL_HALF_16x4	0.0015569	0.896
INTERPOL_QUARTER_16x4	0.00276684	0.896
Dist_SAD_16x12	0.00821645	38.08
Dist_SAD_16x12sub	0.00285225	15.852
INTERPOL_HALF_16x12	0.00310057	0.896
INTERPOL_QUARTER_16x12	0.00628006	0.896
Dist_SAD_4x16	0.0102303	68
Dist_SAD_4x16sub	0.00522072	47.664
INTERPOL_HALF_4x16	0.00266864	1.6
INTERPOL_QUARTER_4x16	0.00472074	1.6
Dist_SAD_12x16	0.0164858	68
Dist_SAD_12x16sub	0.00674339	33.718
INTERPOL_HALF_12x16	0.00568128	1.6
INTERPOL_QUARTER_12x16	0.0113803	1.6
Dist_SAD_32x8	0.0097307	31.295
INTERPOL_HALF_32x8	0.00190882	0.4
INTERPOL_QUARTER_32x8	0.00368355	0.4
Dist_SAD_32x24	0.00775222	17
Dist_SAD_32x24sub	0.0034557	8.417
INTERPOL_HALF_32x24	0.00451711	0.4
INTERPOL_QUARTER_32x24	0.00967853	0.4
Dist_HAD_64x16	0.000324576	0.14
Dist_HAD_64x48	0.000855318	0.14

Frame	6
Others	8.93205	18761.7
TR_DCT_32x32	0.0457131	5.742
