	 Total Time (s)	Calls (kCalls)
DIST_HAD_48x64	0.00219725	0.4
TR_iDCT_16x16_0	0.00793012	4.153
TR_iDCT_32x32_0	0.0214992	1.705
TR_iDCT_8x8_0	0.00102393	2.499
TR_iDCT_16x16_1	0.0081075	4.173
TR_iDCT_8x8_1	0.00349688	8.587
TR_iDCT_32x32_1	0.0149792	1.183
TR_iDCT_4x4_1	0.000482591	3.489
TR_DST_4x4_1	0.000660208	5.248
TR_iDST_4x4_1	0.000323006	2.103

Frame	7
Others	2.19377	3097.22
TR_DCT_32x32_0	0.0312777	2.996
DIST_SSE_32x32	0.00875139	13.001
TR_DCT_16x16_0	0.0245506	15.702
DIST_SSE_16x16	0.00907493	43.101
TR_DCT_8x8_0	0.00648319	22.44
DIST_SSE_8x8	0.00733284	85.415
DIST_SSE_64x64	0.00301479	1.008
DIST_SAD_64x64	0.039378	30.94
DIST_SAD_64x64sub	0.0195515	15.891
INTERPOL_HALF_64x64	0.0389549	0.728
DIST_HAD_64x64	0.102205	14.224
INTERPOL_QUARTER_64x64	0.0816625	0.728
DIST_SAD_32x64	0.0382577	61.88
DIST_SAD_32x64sub	0.0203457	32.817
INTERPOL_HALF_32x64	0.041899	1.456
DIST_HAD_32x64	0.0984327	27.3
INTERPOL_QUARTER_32x64	0.0876489	1.456
DIST_SAD_64x32	0.0404065	61.88
DIST_SAD_64x32sub	0.0193955	30.862
INTERPOL_HALF_64x32	0.0405962	1.456
DIST_HAD_64x32	0.0986351	27.3
INTERPOL_QUARTER_64x32	0.0839071	1.456
TR_DCT_32x32_1	0.0264085	2.513
TR_DCT_16x16_1	0.0240162	15.16
TR_DCT_8x8_1	0.0169763	57.472
TR_DCT_4x4_1	0.00735006	78.816
DIST_SSE_4x4	0.00652487	159.312
DIST_SAD_32x32	0.0397435	123.76
DIST_SAD_32x32sub	0.0253873	78.049
INTERPOL_HALF_32x32	0.0438692	2.912
DIST_HAD_32x32	0.0995561	54.866
INTERPOL_QUARTER_32x32	0.0906005	2.912
DIST_SAD_16x16	0.0495219	495.031
DIST_SAD_16x16sub	0.0271484	270.834
INTERPOL_HALF_16x16	0.0569926	11.648
DIST_HAD_16x16	0.108054	228.2
INTERPOL_QUARTER_16x16	0.110956	11.648
DIST_SAD_16x32	0.0443058	247.52
DIST_SAD_16x32sub	0.0209611	118.718
INTERPOL_HALF_16x32	0.0513155	5.824
DIST_HAD_16x32	0.101824	109.2
INTERPOL_QUARTER_16x32	0.104726	5.824
DIST_SAD_32x16	0.0427877	247.52
DIST_SAD_32x16sub	0.0217143	125.306
INTERPOL_HALF_32x16	0.048097	5.824
DIST_HAD_32x16	0.101803	109.2
INTERPOL_QUARTER_32x16	0.0960294	5.824
TR_iDCT_8x8_1	0.00295988	7.29
TR_iDCT_32x32_1	0.0135692	1.074
TR_iDCT_16x16_1	0.00700797	3.625
TR_iDCT_4x4_1	0.000381479	2.766
TR_DST_4x4_1	0.000561062	4.48
TR_iDST_4x4_1	0.000233881	1.53
TR_iDCT_32x32_0	0.0192904	1.531
TR_iDCT_16x16_0	0.00728006	3.796
DIST_HAD_16x64	0.000627608	0.33
DIST_HAD_48x64	0.00183018	0.33
TR_iDCT_8x8_0	0.000863342	2.115
DIST_HAD_64x16	0.000385975	0.21
DIST_HAD_64x48	0.00113867	0.21

Frame	8
Others	3.19377	3541.59
TR_DCT_32x32_0	0.0495183	4.736
DIST_SSE_32x32	0.013269	19.693
TR_DCT_16x16_0	0.0362075	23.094
DIST_SSE_16x16	0.0142842	67.614
TR_iDCT_16x16_0	0.0183389	9.628
TR_DCT_8x8_0	0.0106754	36.584
DIST_SSE_8x8	0.0116	134.401
TR_iDCT_32x32_0	0.0446836	3.548
DIST_SSE_64x64	0.00398287	1.331
DIST_SAD_64x64	0.0393304	30.94
DIST_SAD_64x64sub	0.0262192	21.329
INTERPOL_HALF_64x64	0.0388687	0.728
DIST_HAD_64x64	0.110528	15.414
INTERPOL_QUARTER_64x64	0.0815099	0.728
DIST_SAD_32x64	0.0382016	61.88
DIST_SAD_32x64sub	0.0245651	39.692
INTERPOL_HALF_32x64	0.0417854	1.456
