	 Total Time (s)	Calls (kCalls)
INTERPOL_HALF_64x64	0.0403464	0.728
DIST_HAD_64x64	0.105856	14.224
INTERPOL_QUARTER_64x64	0.0846371	0.728
DIST_SAD_32x32	0.0412904	123.76
DIST_SAD_32x32sub	0.0431257	125.339
INTERPOL_HALF_32x32	0.0451475	2.912
DIST_HAD_32x32	0.110458	59.08
INTERPOL_QUARTER_32x32	0.0935281	2.912
DIST_SAD_32x64	0.0401331	61.88
DIST_SAD_32x64sub	0.0335352	51.231
INTERPOL_HALF_32x64	0.0432184	1.456
DIST_HAD_32x64	0.102076	27.3
INTERPOL_QUARTER_32x64	0.0915772	1.456
DIST_SAD_64x32	0.0422879	61.88
DIST_SAD_64x32sub	0.0358633	54.89
INTERPOL_HALF_64x32	0.0417832	1.456
DIST_HAD_64x32	0.101598	27.3
INTERPOL_QUARTER_64x32	0.0868867	1.456
TR_iDCT_32x32_0	0.025867	1.99
TR_iDCT_16x16_0	0.00813405	4.101
TR_iDCT_8x8_0	0.00174236	4.319
TR_DCT_4x4_0	0.000607251	6.32
DIST_SSE_4x4	0.000281541	6.32
TR_iDCT_4x4_0	0.000192141	1.505

Frame	14
Others	0.891744	772.013
TR_DCT_32x32_0	0.0435358	4.001
DIST_SSE_32x32	0.00491367	7.11
TR_DCT_16x16_0	0.0278727	17.362
DIST_SSE_16x16	0.00416505	20.667
TR_DCT_8x8_0	0.00865686	29.266
DIST_SSE_8x8	0.00235254	30.206
DIST_SSE_64x64	0.00320033	1.033
DIST_SAD_64x64	0.0407779	30.94
DIST_SAD_64x64sub	0.029045	22.59
INTERPOL_HALF_64x64	0.0400907	0.728
DIST_HAD_64x64	0.106836	14.504
INTERPOL_QUARTER_64x64	0.083643	0.728
DIST_SAD_32x32	0.0418314	123.76
DIST_SAD_32x32sub	0.0355246	102.465
INTERPOL_HALF_32x32	0.0455416	2.912
DIST_HAD_32x32	0.113508	60.2
INTERPOL_QUARTER_32x32	0.0940958	2.912
DIST_SAD_32x64	0.039941	61.88
DIST_SAD_32x64sub	0.0268202	41.238
INTERPOL_HALF_32x64	0.0433557	1.456
DIST_HAD_32x64	0.101575	27.3
INTERPOL_QUARTER_32x64	0.0906854	1.456
DIST_SAD_64x32	0.0417643	61.88
DIST_SAD_64x32sub	0.0277652	42.337
INTERPOL_HALF_64x32	0.0417485	1.456
DIST_HAD_64x32	0.101334	27.3
INTERPOL_QUARTER_64x32	0.086177	1.456
TR_iDCT_16x16_0	0.010358	5.275
TR_iDCT_32x32_0	0.0329664	2.532
TR_iDCT_8x8_0	0.00243693	5.996
TR_DCT_4x4_0	0.000896983	8.6
DIST_SSE_4x4	0.000395627	8.6
TR_iDCT_4x4_0	0.000250339	1.866

Frame	15
Others	0.887103	807.059
TR_DCT_32x32_0	0.0422699	3.887
DIST_SSE_32x32	0.00481772	6.892
TR_DCT_16x16_0	0.0277456	17.334
DIST_SSE_16x16	0.00409455	20.434
TR_DCT_8x8_0	0.00806957	27.376
DIST_SSE_8x8	0.00218779	28.469
DIST_SSE_64x64	0.00314744	1.02
DIST_SAD_64x64	0.0409763	30.94
DIST_SAD_64x64sub	0.0341486	26.295
INTERPOL_HALF_64x64	0.0403058	0.728
DIST_HAD_64x64	0.107101	14.434
INTERPOL_QUARTER_64x64	0.0844216	0.728
DIST_SAD_32x32	0.0415162	123.76
DIST_SAD_32x32sub	0.0432527	125.436
INTERPOL_HALF_32x32	0.045131	2.912
DIST_HAD_32x32	0.112065	59.92
INTERPOL_QUARTER_32x32	0.093837	2.912
DIST_SAD_32x64	0.0401941	61.862
DIST_SAD_32x64sub	0.0324663	50.466
INTERPOL_HALF_32x64	0.0433306	1.456
DIST_HAD_32x64	0.10165	27.3
INTERPOL_QUARTER_32x64	0.0916	1.456
DIST_SAD_64x32	0.0422664	61.88
DIST_SAD_64x32sub	0.0333003	50.793
INTERPOL_HALF_64x32	0.0421295	1.456
DIST_HAD_64x32	0.101894	27.3
INTERPOL_QUARTER_64x32	0.0870141	1.456
TR_iDCT_16x16_0	0.0101148	5.148
TR_iDCT_8x8_0	0.0020555	5.203
TR_iDCT_32x32_0	0.030856	2.366
TR_DCT_4x4_0	0.000651356	6.88
DIST_SSE_4x4	0.000331033	6.88
TR_iDCT_4x4_0	0.000230256	1.679

Frame	16
Others	1.37789	958.495
TR_DCT_32x32_0	0.0664638	6.142
DIST_SSE_32x32	0.00769651	11.052
TR_DCT_16x16_0	0.037422	23.182
DIST_SSE_16x16	0.00627584	31.417
TR_DCT_8x8_0	0.0127104	43.136
DIST_SSE_8x8	0.00368296	46.671
TR_iDCT_16x16_0	0.023756	12.136
TR_iDCT_32x32_0	0.0709148	5.456
DIST_SSE_64x64	0.00380422	1.229
DIST_SAD_64x64	0.0408005	30.94
DIST_SAD_64x64sub	0.0358347	27.377
INTERPOL_HALF_64x64	0.0401938	0.728
DIST_HAD_64x64	0.118122	15.904
INTERPOL_QUARTER_64x64	0.0853312	0.728
DIST_SAD_32x32	0.0414872	123.724
DIST_SAD_32x32sub	0.0500546	145.148
INTERPOL_HALF_32x32	0.045079	2.912
DIST_HAD_32x32	0.123068	65.8
INTERPOL_QUARTER_32x32	0.0944645	2.912
DIST_SAD_32x64	0.0402668	61.844
DIST_SAD_32x64sub	0.0386011	59.178
INTERPOL_HALF_32x64	0.0435306	1.456
DIST_HAD_32x64	0.101746	27.3
INTERPOL_QUARTER_32x64	0.0918254	1.456
DIST_SAD_64x32	0.042041	61.88
DIST_SAD_64x32sub	0.0357219	54.031
INTERPOL_HALF_64x32	0.0421981	1.456
DIST_HAD_64x32	0.101829	27.3
INTERPOL_QUARTER_64x32	0.0875456	1.456
TR_iDCT_8x8_0	0.00616621	15.496
TR_DCT_4x4_0	0.00197571	21.28
DIST_SSE_4x4	0.000955979	21.28
TR_iDCT_4x4_0	0.000844202	6.487

Frame	17
Others	0.876331	820.578
TR_DCT_32x32_0	0.0414097	3.817
DIST_SSE_32x32	0.00463665	6.739
TR_DCT_16x16_0	0.02764	17.266
DIST_SSE_16x16	0.00399174	19.988
TR_DCT_8x8_0	0.00782724	26.686
DIST_SSE_8x8	0.00212464	27.328
DIST_SSE_64x64	0.003129	1.016
DIST_SAD_64x64	0.0411331	30.94
DIST_SAD_64x64sub	0.0555988	42.685
INTERPOL_HALF_64x64	0.0401906	0.728
DIST_HAD_64x64	0.106784	14.364
INTERPOL_QUARTER_64x64	0.0842773	0.728
DIST_SAD_32x32	0.0413553	123.733
DIST_SAD_32x32sub	0.0440223	127.339
INTERPOL_HALF_32x32	0.0451624	2.912
DIST_HAD_32x32	0.111606	59.64
INTERPOL_QUARTER_32x32	0.0935109	2.912
DIST_SAD_32x64	0.04022	61.826
DIST_SAD_32x64sub	0.0319718	49.526
INTERPOL_HALF_32x64	0.0434445	1.456
DIST_HAD_32x64	0.10167	27.3
INTERPOL_QUARTER_32x64	0.0912464	1.456
DIST_SAD_64x32	0.0419251	61.88
DIST_SAD_64x32sub	0.0349725	53.198
INTERPOL_HALF_64x32	0.0421471	1.456
DIST_HAD_64x32	0.101921	27.3
INTERPOL_QUARTER_64x32	0.0873671	1.456
TR_iDCT_32x32_0	0.0291245	2.24
TR_iDCT_16x16_0	0.00931436	4.762
TR_iDCT_8x8_0	0.00174364	4.262
TR_DCT_4x4_0	0.000570921	6.12
DIST_SSE_4x4	0.000272612	6.12
TR_iDCT_4x4_0	0.000178407	1.398

Frame	18
Others	0.924946	786.602
TR_DCT_32x32_0	0.0456665	4.229
DIST_SSE_32x32	0.0051705	7.441
TR_DCT_16x16_0	0.029672	18.39
DIST_SSE_16x16	0.00438917	21.899
TR_DCT_8x8_0	0.0086424	29.39
